rating,file,function,table,kind,client,tenant_filter_in_chain,multiline_tenant_filter_detected,insert_contains_tenant_id,prior_ownership_assertion_detected,likely_false_positive,recommended_action,id_only_without_tenant_signal,service_role_note,rls_note,line,snippet
"SAFE","app/(fi-admin)/fi-admin/[tenantId]/settings/integrations/timely/discovery/page.tsx","(top-level or unscoped)","fi_tenants","from","supabase","N","N","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","Y","Convenience; could use tenant-scoped user client for some reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","39","const { data: tenant, error: te } = await supabase.from('fi_tenants').select('id').eq('id', tenantId).maybeSingle();"
"SAFE","app/(fi-admin)/fi-admin/[tenantId]/settings/integrations/timely/page.tsx","(top-level or unscoped)","fi_tenants","from","supabase","N","N","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","Y","Convenience; could use tenant-scoped user client for some reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","39","const { data: tenant, error: te } = await supabase.from('fi_tenants').select('id').eq('id', tenantId).maybeSingle();"
"SAFE","app/(fi-admin)/fi-admin/[tenantId]/settings/reminders/page.tsx","(top-level or unscoped)","fi_tenants","from","supabase","N","N","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","Y","Convenience; could use tenant-scoped user client for some reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","32","const { data: tenant, error: te } = await supabase.from('fi_tenants').select('id').eq('id', tenantId).maybeSingle();"
"SAFE","app/(fi-admin)/fi-admin/[tenantId]/settings/tax-localisation/page.tsx","(top-level or unscoped)","fi_tenants","from","supabase","N","N","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","Y","Convenience; could use tenant-scoped user client for some reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","46","const { data: tenant, error: te } = await supabase.from('fi_tenants').select('id').eq('id', tenantId).maybeSingle();"
"DANGEROUS","app/(fi-admin)/fi-admin/system/academy/page.tsx","(top-level or unscoped)","fi_staff_source_ids","from","supabase","N","N","N","N","N","Add tenant_id filter (or insert field), an ownership assert, or tenant-scoped PK pattern; prefer user JWT client where RLS suffices.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","11",".from('fi_staff_source_ids') .select('id', { count: 'exact', head: true }) .ilike('source_system', '%academy%');"
"DANGEROUS","app/(fi-admin)/fi-admin/system/audit-logs/page.tsx","(top-level or unscoped)","fi_os_impersonation_sessions","from","supabase","N","N","N","N","N","Add tenant_id filter (or insert field), an ownership assert, or tenant-scoped PK pattern; prefer user JWT client where RLS suffices.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","11",".from('fi_os_impersonation_sessions') .select('id', { count: 'exact', head: true });"
"SAFE","app/(fi-admin)/fi-admin/system/audit-logs/page.tsx","(top-level or unscoped)","fi_tenants","from","supabase","N","N","N","N","Y","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Convenience; could use tenant-scoped user client for some reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","16","const { data: tenants } = await supabase.from('fi_tenants').select('id, name').order('name');"
"DANGEROUS","app/(fi-admin)/fi-admin/system/clinics/page.tsx","(top-level or unscoped)","fi_clinics","from","supabase","N","N","N","N","N","Add tenant_id filter (or insert field), an ownership assert, or tenant-scoped PK pattern; prefer user JWT client where RLS suffices.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","11",".from('fi_clinics') .select('id, tenant_id, display_name') .order('display_name') .limit(500);"
"SAFE","app/(fi-admin)/fi-admin/system/clinics/page.tsx","(top-level or unscoped)","fi_tenants","from","supabase","N","N","N","N","Y","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Convenience; could use tenant-scoped user client for some reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","22","const { data: tenants, error: e2 } = await supabase.from('fi_tenants').select('id, name').in('id', tenantIds);"
"SAFE","app/(fi-admin)/fi-admin/system/doctors/page.tsx","(top-level or unscoped)","fi_tenants","from","supabase","N","N","N","N","Y","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Convenience; could use tenant-scoped user client for some reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","10","const { data: tenants, error } = await supabase.from('fi_tenants').select('id, name').order('name');"
"DANGEROUS","app/(fi-admin)/fi-admin/system/medication-catalogue/page.tsx","(top-level or unscoped)","fi_medication_catalogue","from","supabase","N","N","N","N","N","Add tenant_id filter (or insert field), an ownership assert, or tenant-scoped PK pattern; prefer user JWT client where RLS suffices.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","11",".from('fi_medication_catalogue') .select('id, tenant_id, medication_name, active') .order('medication_name') .limit(400);"
"SAFE","app/(fi-admin)/fi-admin/system/medication-catalogue/page.tsx","(top-level or unscoped)","fi_tenants","from","supabase","N","N","N","N","Y","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Convenience; could use tenant-scoped user client for some reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","22","const { data: tenants } = await supabase.from('fi_tenants').select('id, name').in('id', tenantIds);"
"SAFE","app/(fi-admin)/fi-admin/system/services/page.tsx","(top-level or unscoped)","fi_tenants","from","supabase","N","N","N","N","Y","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Convenience; could use tenant-scoped user client for some reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","10","const { data: tenants, error: e1 } = await supabase.from('fi_tenants').select('id, name').order('name');"
"DANGEROUS","app/(fi-admin)/fi-admin/system/services/page.tsx","(top-level or unscoped)","fi_services","from","supabase","N","N","N","N","N","Add tenant_id filter (or insert field), an ownership assert, or tenant-scoped PK pattern; prefer user JWT client where RLS suffices.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","14","const { data: svc, error: e2 } = await supabase.from('fi_services').select('tenant_id');"
"SAFE","app/(fi-admin)/fi-admin/system/staff/page.tsx","(top-level or unscoped)","fi_tenants","from","supabase","N","N","N","N","Y","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Convenience; could use tenant-scoped user client for some reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","10","const { data: tenants, error: e1 } = await supabase.from('fi_tenants').select('id, name').order('name');"
"DANGEROUS","app/(fi-admin)/fi-admin/system/staff/page.tsx","(top-level or unscoped)","fi_staff","from","supabase","N","N","N","N","N","Add tenant_id filter (or insert field), an ownership assert, or tenant-scoped PK pattern; prefer user JWT client where RLS suffices.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","14","const { data: staffAgg, error: e2 } = await supabase.from('fi_staff').select('tenant_id');"
"SAFE","app/(fi-admin)/fi-admin/system/tenants/page.tsx","(top-level or unscoped)","fi_tenants","from","supabase","N","N","N","N","Y","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Convenience; could use tenant-scoped user client for some reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","10","const { data, error } = await supabase.from('fi_tenants').select('id, name, slug').order('name');"
"SAFE","app/api/cron/fi-photo-protocol-alerts/route.ts","(top-level or unscoped)","fi_tenants","from","supabase","N","N","N","N","Y","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Convenience; could use tenant-scoped user client for some reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","42","const { data: tenants, error } = await supabase.from('fi_tenants').select('id').order('name').limit(500);"
"CRITICAL","app/api/fi-payments/stripe/webhook/route.ts","(top-level or unscoped)","fi_payment_webhook_events","from","supabase","N","N","N","N","N","Service-role query filters by id/uuid only with no tenant signal and no prior ownership assert — fix before production.","Y","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","119",".from('fi_payment_webhook_events') .update({ processing_status: 'processed', updated_at: new Date().toISOString() }) .eq('id', webhookRowId);"
"CRITICAL","app/api/fi-payments/stripe/webhook/route.ts","(top-level or unscoped)","fi_payment_webhook_events","from","supabase","N","N","N","N","N","Service-role query filters by id/uuid only with no tenant signal and no prior ownership assert — fix before production.","Y","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","127",".from('fi_payment_webhook_events') .update({ processing_status: 'ignored', updated_at: new Date().toISOString(), metadata: { reason: mapped.reason }, }) .eq('id', webhookRowId);"
"CRITICAL","app/api/fi-payments/stripe/webhook/route.ts","(top-level or unscoped)","fi_payment_webhook_events","from","supabase","N","N","N","N","N","Service-role query filters by id/uuid only with no tenant signal and no prior ownership assert — fix before production.","Y","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","141",".from('fi_payment_webhook_events') .update({ processing_status: 'error', error_message: msg, updated_at: new Date().toISOString(), }) .eq('id', webhookRowId);"
"SAFE","app/api/fi-payments/stripe/webhook/route.ts","(top-level or unscoped)","fi_payment_webhook_events","from","supabase","Y","Y","Y","N","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","43",".from('fi_payment_webhook_events') .insert({ tenant_id: tenantHint, provider: 'stripe', provider_event_id: ev.id ?? null, event_type: ev.type ?? null, payload: JSON.parse(JSON.stringify(rawEvent)) as Record<string, unkno"
"CRITICAL","app/api/fi-payments/stripe/webhook/route.ts","(top-level or unscoped)","fi_payment_webhook_events","from","supabase","N","N","N","N","N","Service-role query filters by id/uuid only with no tenant signal and no prior ownership assert — fix before production.","Y","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","81",".from('fi_payment_webhook_events') .update({ processing_status: 'processed', updated_at: new Date().toISOString() }) .eq('id', webhookRowId);"
"SAFE","app/api/fi-payments/stripe/webhook/route.ts","(top-level or unscoped)","fi_invoices","from","supabase","Y","Y","N","N","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","94",".from('fi_invoices') .select('lead_id, patient_id, case_id') .eq('tenant_id', tid) .eq('id', mapped.invoiceId.trim()) .maybeSingle();"
"SAFE","app/api/fi/audit/approve/route.ts","(top-level or unscoped)","fi_reports","from","supabase","Y","Y","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","36",".from('fi_reports') .select('id, case_id, status') .eq('id', report_id) .eq('tenant_id', tenant_id) .single();"
"SAFE","app/api/fi/audit/approve/route.ts","(top-level or unscoped)","fi_reports","from","supabase","Y","Y","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","54",".from('fi_reports') .update({ status: 'released', approved_at: now, released_at: now, updated_at: now, }) .eq('id', report_id) .eq('tenant_id', tenant_id);"
"SAFE","app/api/fi/audit/approve/route.ts","(top-level or unscoped)","fi_audits","from","supabase","N","N","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","67","await supabase.from('fi_audits').insert({ tenant_id, report_id, case_id: report.case_id, reviewer_id: reviewer_id || null, note: 'Approved', status: 'approved', });"
"SAFE","app/api/fi/audit/reject/route.ts","(top-level or unscoped)","fi_reports","from","supabase","Y","Y","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","47",".from('fi_reports') .select('id, case_id, status') .eq('id', report_id) .eq('tenant_id', tenant_id) .single();"
"SAFE","app/api/fi/audit/reject/route.ts","(top-level or unscoped)","fi_reports","from","supabase","Y","Y","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","67",".from('fi_reports') .update({ status: 'changes_required', updated_at: now }) .eq('id', report_id) .eq('tenant_id', tenant_id);"
"SAFE","app/api/fi/audit/reject/route.ts","(top-level or unscoped)","fi_cases","from","supabase","Y","Y","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","76",".from('fi_cases') .update({ status: caseStatus, updated_at: now }) .eq('id', report.case_id) .eq('tenant_id', tenant_id);"
"SAFE","app/api/fi/audit/reject/route.ts","(top-level or unscoped)","fi_audits","from","supabase","N","N","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","83","await supabase.from('fi_audits').insert({ tenant_id, report_id, case_id: report.case_id, reviewer_id: reviewer_id || null, note, status: 'changes_required', });"
"DANGEROUS","app/api/fi/cases/route.ts","(top-level or unscoped)","fi_intakes","from","supabase","N","N","N","N","N","Add tenant_id filter (or insert field), an ownership assert, or tenant-scoped PK pattern; prefer user JWT client where RLS suffices.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","116",".from('fi_intakes') .upsert(intakeRow, { onConflict: 'case_id', ignoreDuplicates: false });"
"DANGEROUS","app/api/fi/cases/route.ts","(top-level or unscoped)","fi_referrals","from","supabase","N","N","N","N","N","Add tenant_id filter (or insert field), an ownership assert, or tenant-scoped PK pattern; prefer user JWT client where RLS suffices.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","129","await supabase.from('fi_referrals').upsert( { partner_id, case_id: caseData.id, referral_code }, { onConflict: 'case_id', ignoreDuplicates: true } );"
"SAFE","app/api/fi/cases/route.ts","(top-level or unscoped)","fi_partners","from","supabase","Y","Y","N","N","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","41",".from('fi_partners') .select('id') .eq('tenant_id', tenant_id) .eq('reference_code', referral_code) .single();"
"SAFE","app/api/fi/cases/route.ts","(top-level or unscoped)","fi_tenants","from","supabase","N","N","N","N","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","Y","Convenience; could use tenant-scoped user client for some reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","50",".from('fi_tenants') .select('id') .eq('id', tenant_id) .single();"
"DANGEROUS","app/api/fi/cases/route.ts","(top-level or unscoped)","fi_cases","from","supabase","N","N","N","N","N","Add tenant_id filter (or insert field), an ownership assert, or tenant-scoped PK pattern; prefer user JWT client where RLS suffices.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","70",".from('fi_cases') .upsert(caseRow, { onConflict: 'tenant_id,external_id', ignoreDuplicates: false, }) .select('id, status, created_at') .single();"
"DANGEROUS","app/api/fi/cases/route.ts","(top-level or unscoped)","fi_cases","from","supabase","N","N","N","N","N","Add tenant_id filter (or insert field), an ownership assert, or tenant-scoped PK pattern; prefer user JWT client where RLS suffices.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","81",".from('fi_cases') .insert(caseRow) .select('id, status, created_at') .single();"
"SAFE","app/api/fi/partners/route.ts","(top-level or unscoped)","fi_tenants","from","supabase","N","N","N","N","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","Y","Convenience; could use tenant-scoped user client for some reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","40",".from('fi_tenants') .select('id') .eq('id', tenant_id) .single();"
"DANGEROUS","app/api/fi/partners/route.ts","(top-level or unscoped)","fi_partners","from","supabase","N","N","N","N","N","Add tenant_id filter (or insert field), an ownership assert, or tenant-scoped PK pattern; prefer user JWT client where RLS suffices.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","48",".from('fi_partners') .insert({ tenant_id, name, reference_code, slug: body.slug ?? null, metadata: body.metadata ?? {}, }) .select('id, name, reference_code, created_at') .single();"
"SAFE","app/api/fi/report/route.ts","(top-level or unscoped)","fi_reports","from","supabase","Y","Y","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","56",".from('fi_reports') .select('id, version, status, storage_path, storage_url, created_at, approved_at, released_at, report_json') .eq('id', report_id) .eq('tenant_id', tenant_id) .single();"
"SAFE","app/api/fi/report/route.ts","(top-level or unscoped)","fi_cases","from","supabase","Y","Y","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","64",".from('fi_cases') .select('id') .eq('id', case_id) .eq('tenant_id', tenant_id) .single();"
"SAFE","app/api/fi/report/route.ts","(top-level or unscoped)","fi_reports","from","supabase","Y","Y","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","72",".from('fi_reports') .select('id, version, status, storage_path, storage_url, created_at, approved_at, released_at, report_json') .eq('id', report_id) .eq('case_id', case_id) .eq('tenant_id', tenant_id) .single();"
"SAFE","app/api/fi/report/route.ts","(top-level or unscoped)","fi_cases","from","supabase","Y","Y","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","81",".from('fi_cases') .select('id') .eq('id', case_id) .eq('tenant_id', tenant_id) .single();"
"SAFE","app/api/fi/report/route.ts","(top-level or unscoped)","fi_reports","from","supabase","Y","Y","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","89",".from('fi_reports') .select('id, version, status, storage_path, storage_url, created_at, approved_at, released_at, report_json') .eq('case_id', case_id) .eq('tenant_id', tenant_id) .in('status', ['approved', 'released'])"
"DANGEROUS","app/api/fi/uploads/route.ts","(top-level or unscoped)","fi_uploads","from","supabase","N","N","N","N","N","Add tenant_id filter (or insert field), an ownership assert, or tenant-scoped PK pattern; prefer user JWT client where RLS suffices.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","101","const { error: insertErr } = await supabase.from('fi_uploads').insert(inserts);"
"SAFE","app/api/fi/uploads/route.ts","(top-level or unscoped)","fi_cases","from","supabase","Y","Y","N","N","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","45",".from('fi_cases') .select('id') .eq('id', case_id) .eq('tenant_id', tenant_id) .single();"
"SAFE","app/api/tenants/[tenantId]/cases/[caseId]/route.ts","GET","fi_cases","from","supabase","Y","Y","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","27",".from('fi_cases') .select('id, external_id, status, partner_id, created_at') .eq('id', caseId) .eq('tenant_id', tenantId) .single();"
"SAFE","app/api/tenants/[tenantId]/cases/[caseId]/route.ts","GET","fi_intakes","from","supabase","Y","Y","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","38",".from('fi_intakes') .select('full_name, email, dob, sex, country, primary_concern, selections') .eq('case_id', caseId) .eq('tenant_id', tenantId) .single(), supabase .from('fi_uploads') .select('id, type, filename, stora"
"SAFE","app/api/tenants/[tenantId]/cases/[caseId]/route.ts","GET","fi_uploads","from","supabase","Y","Y","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","44",".from('fi_uploads') .select('id, type, filename, storage_path, mime_type, created_at') .eq('case_id', caseId) .order('created_at', { ascending: false }), supabase .from('fi_signals_blood') .select('id, payload, confidenc"
"SAFE","app/api/tenants/[tenantId]/cases/[caseId]/route.ts","GET","fi_signals_blood","from","supabase","Y","Y","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","49",".from('fi_signals_blood') .select('id, payload, confidence') .eq('case_id', caseId) .eq('tenant_id', tenantId) .maybeSingle(), supabase .from('fi_signals_image') .select('id, payload, confidence') .eq('case_id', caseId) "
"SAFE","app/api/tenants/[tenantId]/cases/[caseId]/route.ts","GET","fi_signals_image","from","supabase","Y","Y","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","55",".from('fi_signals_image') .select('id, payload, confidence') .eq('case_id', caseId) .eq('tenant_id', tenantId), supabase .from('fi_scorecards') .select('id, payload_json, overall_score, risk_tier') .eq('case_id', caseId)"
"SAFE","app/api/tenants/[tenantId]/cases/[caseId]/route.ts","GET","fi_scorecards","from","supabase","Y","Y","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","60",".from('fi_scorecards') .select('id, payload_json, overall_score, risk_tier') .eq('case_id', caseId) .eq('tenant_id', tenantId) .order('created_at', { ascending: false }) .limit(1) .maybeSingle(), supabase .from('fi_repor"
"SAFE","app/api/tenants/[tenantId]/cases/[caseId]/route.ts","GET","fi_reports","from","supabase","Y","Y","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","68",".from('fi_reports') .select('id, version, status, report_json, storage_path, created_at') .eq('case_id', caseId) .eq('tenant_id', tenantId) .order('created_at', { ascending: false }) .limit(1) .maybeSingle(), ]);"
